Age,Attrition,DailyRate,DistanceFromHome,Education,Gender,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
36,1,1218,9,4,0,1,3407,7,0,23,4,10,5,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,0,419,7,4,1,2,11994,0,0,11,3,13,12,6,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,0,391,15,2,0,4,1232,1,0,14,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,1,699,6,1,0,1,2960,2,0,11,3,8,4,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,0,1282,5,3,1,3,19094,4,0,11,3,26,14,13,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
32,1,1125,16,1,1,1,3919,1,1,22,4,10,10,2,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,0,691,8,4,0,2,6825,0,0,11,3,10,9,7,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44,0,477,7,4,1,4,10248,3,0,14,3,24,22,6,17,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,0,705,2,4,1,1,18947,3,0,12,3,22,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,0,924,2,3,0,4,2496,4,0,11,3,7,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,0,1459,10,4,0,4,6465,2,1,13,3,9,4,2,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
30,0,125,9,2,0,3,2206,1,0,13,3,10,10,0,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,1,895,5,3,0,4,2086,3,0,14,3,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
24,1,813,1,3,0,4,2293,2,1,16,3,6,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,0,1273,2,2,1,3,2645,1,0,12,3,6,5,3,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,1,869,3,2,0,3,2683,1,1,14,3,3,3,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0,890,2,3,1,4,2014,1,0,13,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,0,852,5,4,1,1,3419,9,1,14,3,6,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,0,1141,1,3,1,1,5376,2,0,19,3,10,5,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,0,464,4,2,0,4,1951,1,0,12,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
27,0,1240,2,4,1,1,2341,1,0,13,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,1357,25,3,0,3,2293,1,0,12,3,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,0,994,8,3,0,3,8726,1,0,15,3,9,9,8,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,721,1,2,1,4,4011,1,0,23,4,12,12,8,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,1,1360,12,3,1,3,19545,1,0,12,3,23,22,15,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
34,0,1065,23,4,0,3,4568,0,0,20,4,10,9,5,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,0,408,19,2,0,2,3022,4,0,21,4,8,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,0,1211,5,4,0,4,5772,4,1,21,4,14,9,6,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,0,1229,8,1,0,4,2269,1,0,19,3,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,1,626,1,2,0,3,5381,9,1,13,3,23,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28,1,1434,5,4,0,3,3441,1,1,13,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
44,0,1488,1,5,1,1,5454,5,1,21,4,9,4,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,0,1097,11,2,0,1,9884,2,1,13,3,10,4,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,0,1443,23,3,1,4,4157,7,1,19,3,5,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,515,1,2,1,4,13458,1,1,12,3,15,15,14,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,0,853,18,5,0,1,9069,1,0,22,4,9,9,8,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,0,1142,23,4,1,1,4014,3,1,15,3,4,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,0,655,7,4,0,4,5915,3,0,22,4,10,7,7,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,0,1115,1,4,0,3,5993,1,0,18,3,7,7,5,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,0,427,1,3,0,4,6162,1,1,22,4,9,9,8,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,0,653,29,5,1,4,2406,1,0,11,3,10,10,3,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,989,7,2,1,3,18740,5,1,12,3,29,27,3,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
59,0,1435,25,3,1,1,7637,7,0,11,3,28,21,16,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,0,1223,8,3,1,3,10096,1,0,13,3,17,17,14,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
55,0,836,8,3,1,3,14756,2,1,14,3,21,5,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36,0,1195,11,3,0,2,6499,1,0,13,3,6,6,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,0,1339,7,3,0,1,9724,2,0,17,3,25,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,0,664,1,3,0,1,2194,4,0,13,3,5,3,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,1,318,9,3,0,3,3388,0,1,17,3,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,0,1225,1,1,1,3,5473,7,0,11,3,20,4,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,1328,2,3,0,2,2703,0,0,23,4,6,5,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,0,1082,1,4,0,2,2501,1,0,17,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,548,1,3,0,2,6220,1,0,17,3,10,10,4,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,0,132,6,3,1,4,3038,3,0,12,3,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,0,746,8,4,1,4,4424,1,0,23,4,11,11,7,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,0,776,1,4,0,1,4312,0,0,14,3,16,15,13,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,0,193,6,4,0,1,13245,4,1,14,3,17,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
37,0,397,7,4,0,3,13664,4,0,13,3,16,5,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,0,945,5,2,0,2,5021,8,1,22,4,16,4,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,0,852,1,1,0,4,5126,1,1,12,3,10,10,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,0,1214,1,3,0,3,2859,1,0,18,3,6,6,4,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,0,111,1,2,0,4,10239,3,0,14,3,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,0,573,6,3,1,4,5329,7,1,12,3,17,13,11,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
34,0,1153,1,2,0,2,4325,1,0,15,3,5,5,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,0,1400,7,3,0,4,7260,4,0,11,3,37,6,4,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,0,541,2,1,0,1,2322,3,0,13,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
51,0,432,9,4,0,4,2075,3,0,23,4,10,4,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30,0,288,2,3,0,4,4152,1,0,19,3,11,11,10,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,1,669,9,2,0,4,9619,1,0,16,3,9,9,8,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,530,1,4,0,2,13503,1,0,22,4,22,22,3,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51,0,632,21,4,0,4,5441,0,1,22,4,11,10,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,1334,4,2,1,2,5209,1,1,12,3,11,11,8,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,0,638,1,3,0,1,10673,2,1,13,3,21,10,9,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,0,1093,6,4,0,3,5010,1,0,16,3,12,11,8,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,0,1217,2,4,1,3,13549,9,0,12,3,16,4,3,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
24,0,1353,3,2,1,3,4999,0,0,21,4,4,3,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
28,0,120,4,3,0,3,4221,1,0,15,3,5,5,4,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,0,682,10,4,0,3,13872,0,0,13,3,38,37,10,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,0,489,23,3,0,2,2042,4,0,12,3,17,3,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
37,1,807,6,4,0,1,2073,4,1,22,4,7,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,0,827,1,1,0,1,2956,1,0,13,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,1,871,6,3,1,4,2926,1,1,18,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,0,665,6,4,1,3,4809,1,0,14,3,16,16,13,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37,0,1040,2,2,0,4,5163,5,0,14,3,17,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59,0,1420,2,4,1,4,18844,9,0,21,4,30,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50,0,1115,1,3,1,2,18172,3,1,19,3,28,8,3,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,1,240,5,3,0,3,5744,1,1,11,3,6,6,4,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,0,1280,7,1,0,4,2889,1,0,11,3,2,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,0,534,15,3,1,4,2871,1,0,15,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,0,1456,1,4,1,1,7484,3,0,20,4,23,13,12,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,1,658,7,3,0,3,6074,1,1,24,4,9,9,7,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,0,142,26,3,1,4,17328,2,1,12,3,23,5,3,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,0,1127,18,1,0,3,2774,0,0,12,3,6,5,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,0,1031,6,4,1,2,4505,6,0,15,3,12,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37,0,1189,3,3,0,4,7428,2,0,12,3,12,5,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,1354,5,3,1,1,11631,2,0,12,3,14,11,10,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0,1467,11,2,1,4,9738,0,0,14,3,10,9,7,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36,0,922,3,2,1,4,2835,5,0,22,4,7,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,0,394,26,2,0,4,16959,1,1,12,3,25,25,12,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,0,1312,23,3,0,3,2613,1,0,25,4,10,10,7,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,0,750,22,2,0,2,6146,0,0,13,3,8,7,7,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56,1,441,14,4,1,2,4963,9,1,18,3,7,5,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,0,684,6,3,0,3,19537,7,0,13,3,23,20,18,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,1,249,6,4,0,3,6172,4,1,18,3,12,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,0,841,6,3,1,2,2368,1,0,19,3,5,5,4,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
58,1,147,23,4,1,4,10312,1,0,12,3,40,40,10,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,1,528,22,1,0,3,1675,1,1,19,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,0,594,2,1,0,4,2523,0,0,14,3,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49,0,470,20,4,1,1,6567,1,0,14,3,16,15,11,11,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43,0,957,28,3,1,3,4739,4,0,12,3,18,3,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50,0,809,12,3,1,4,9208,4,0,11,3,16,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,1,542,20,3,1,3,4559,3,1,11,3,4,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,0,802,9,1,0,3,8189,3,1,13,3,12,9,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,0,1355,25,1,1,3,2942,1,0,23,4,8,8,7,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,0,216,6,2,0,2,4941,6,0,20,4,7,3,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51,1,1150,8,4,0,4,10650,2,0,15,3,18,4,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,0,1329,4,4,1,3,5902,4,0,14,3,17,15,11,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25,0,959,28,3,0,3,8639,2,0,18,3,6,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,1240,9,3,0,4,6347,0,1,19,3,12,11,9,7,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,1,1033,9,3,1,1,4200,7,0,22,4,10,5,4,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45,0,1316,29,3,0,4,3452,5,0,13,3,9,6,5,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,0,364,3,5,1,3,4317,3,1,20,4,19,3,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30,0,438,18,3,1,3,2632,1,0,14,3,5,5,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,689,9,2,0,4,4668,0,0,17,3,9,8,7,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30,0,201,5,3,1,1,3204,5,0,14,3,8,3,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
30,0,1427,2,1,0,4,2720,0,0,13,3,6,5,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,0,857,10,3,0,1,17181,4,0,13,3,21,7,6,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,0,933,9,4,0,1,2238,2,0,21,4,7,5,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,0,1181,3,1,1,2,1483,1,0,14,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
40,0,1395,26,3,1,2,5605,1,0,11,3,20,20,7,13,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,0,662,1,5,0,2,7295,1,0,13,3,10,10,8,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,0,1436,6,2,0,3,2306,2,1,20,4,13,7,7,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45,0,194,9,3,0,2,2348,8,0,18,3,20,17,9,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
32,0,967,8,3,1,4,8998,1,0,14,3,9,9,8,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,1496,1,1,0,3,4319,1,0,13,3,10,10,7,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
51,0,1169,7,4,0,3,6132,2,0,17,3,10,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,0,1145,9,3,1,2,3346,4,1,20,4,9,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,0,630,4,4,0,4,10855,7,0,11,3,15,12,11,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0,303,2,4,1,3,2231,6,0,18,3,6,4,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,0,1256,19,1,0,4,2323,1,0,24,4,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,691,9,3,0,2,2024,6,0,18,3,6,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
